Français;Allemand;Leçon;Catégorie;Régularité
danser;tanzen;45;Verb;regular
démissionner;kündigen;45;Verb;regular
fonder;gründen;45;Verb;regular
grand;groß;45;Adjective/Adverb;
il y a (préposition temps);vor;45;Preposition;
japonais;japanisch;45;Adjective/Adverb;
raconter;erzählen;45;Verb;regular
ravissant;hübsch;45;Adjective/Adverb;
Rome;Rom;45;Noun;
tard (plus ~);später;45;Adjective/Adverb;
tout aussi;(genau) so;45;Adjective/Adverb;
vie;das Leben;45;Noun;
altitude;wie hoch;46;Interrogative;
argent;das Geld;46;Noun;
chanter;singen;46;Verb;irregular
combien de;wie viel;46;Interrogative;
dépendre de;ankommen auf;46;Verb;irregular
encore (une fois);noch;46;Modal particle;
géographie;die Erdkunde;46;Noun;
juste;richtig;46;Adjective/Adverb;
longueur;wie lang;46;Interrogative;
mètre;der Meter;46;Noun;
Nil (le ~);der Nil;46;Noun;
quiz;das Quiz;46;Noun;
réponse;die Antwort;46;Noun;
seconde;die Sekunde;46;Noun;
série;die Reihe;46;Noun;
sorte;die Art;46;Noun;
supérieur;höher;46;Adjective/Adverb;
sorte;die Art;46;Noun;
supérieur;höher;46;Adjective/Adverb;
tester;testen;46;Verb;regular
tour (jeu, endroit);die Runde;46;Noun;
autrement;anders;47;Adjective/Adverb;
chef;der Chef;47;Noun;
continuer;weitergehen;47;Verb;irregular
écouter;zuhören;47;Verb;irregular
éteindre;ausmachen;47;Verb;irregular
lui (à elle);ihr;47;Personal pronoun;
lui (à lui);ihm;47;Personal pronoun;
ponctualité;die Pünktlichkeit;47;Noun;
quart d'heure;die Viertelstunde;47;Noun;
quelqu'un;jemand;47;Adjective/Adverb;
quelqu'un d'autre;jemand anders;47;Adjective/Adverb;
rendez-vous;der Termin;47;Noun;
semblable;ähnlich;47;Adjective/Adverb;
séparé;getrennt;47;Adjective/Adverb;
belle (la plus ~);die Schönste;48;Noun;
Blanche-Neige;Schneewittchen;48;Noun;
celui-ci;dieser;48;Adjective/Adverb;
conte;das Märchen;48;Noun;
content;zufrieden;48;Adjective/Adverb;
grandir;wachsen;48;Verb;irregular
mamie;die Oma / die Omi;48;Noun;
même(s) (en personne);selbst;48;Adjective/Adverb;
miroir;der Spiegel;48;Noun;
miroir (diminutif);das Spieglein;48;Noun;
mur (intérieur);die Wand;48;Noun;
papy;der Opa / der Opi;48;Noun;
reine;die Königin;48;Noun;
répondre;antworten;48;Verb;regular
vérité;die Wahrheit;48;Noun;
cause (à ~ de);wegen;49;Preposition;
hauteur;wie hoch;49;Interrogative;
pendant;während;49;Conjunction;
afin de;um ... zu;50;Conjunction;
bien (faire du ~);gut tun;50;Fixed expression;
clapet;die Klappe;50;Noun;
contact;der Umgang;50;Noun;
débloquer;spinnen;50;Verb;irregular
effet (en ~);nämlich;50;Modal particle;
énerver;nerven;50;Verb;regular
enseigner;beibringen;50;Verb;irregular
être (adresse, tel);lauten;50;Verb;regular
expression;der Ausdruck;50;Noun;
fréquentations;der Umgang;50;Noun;
intituler (s');lauten;50;Verb;regular
jurer;fluchen / schwören;50;Verb;irregular
langage familier;die Umgangssprache;50;Noun;
langage parlé;die Umgangssprache;50;Noun;
langue;die Sprache;50;Noun;
leçon;die Lektion;50;Noun;
mal faire;weh tun;50;Fixed expression;
mot;das Wort;50;Noun;
nerf;der Nerv;50;Noun;
nez;die Nase;50;Noun;
ni… ni…;weder… noch…;50;Conjunction;
oui et non;jein;50;Modal particle;
partie;der Teil;50;Noun;
peine (faire de la ~);leid/tun;50;Verb;irregular
pester;fluchen;50;Verb;regular
peu (un ~ de);etwas;50;Adjective/Adverb;
pièce (élément);das Teil;50;Noun;
pleuvoir;regnen;50;Verb;regular
pour (+ inf.);um … zu;50;Conjunction;
progrès;der Fortschritt;50;Noun;
quel/le/s que soit/soient le/la/les;egal in welch-;50;Fixed expression;
souffler;pusten;50;Verb;regular
souffler;pusten;50;Verb;regular
assurance;die Versicherung;51;Noun;
autorisation;die Genehmigung;51;Noun;
centre-ville;die Innenstadt;51;Noun;
Constance (habitant);der Konstanzer;51;Noun;
contrat;der Vertrag;51;Noun;
contrat d'assurance vie;der Lebensversicherungsvertrag;51;Noun;
début;der Anfang;51;Noun;
discipline;die Disziplin;51;Noun;
fiabilité;die Zuverlässigkeit;51;Noun;
gens;die Leute;51;Noun;
intéressant;interessant;51;Adjective/Adverb;
interroger;befragen;51;Verb;regular
marché;der Markt;51;Noun;
Munich;München;51;Noun;
obstination;die Sturheit;51;Noun;
parole;das Wort;51;Noun;
permis de séjour;die Aufenthaltsgenehmigung;51;Noun;
place du marché;der Marktplatz;51;Noun;
prononcer;aus/sprechen;51;Verb;irregular
propreté;die Sauberkeit;51;Noun;
séjour;der Aufenthalt;51;Noun;
suisse (adj.);schweizerisch;51;Adjective/Adverb;
Suisse (pays);die Schweiz;51;Noun;
suisse (adj.);schweizerisch;51;Adjective/Adverb;
Suisse (pays);die Schweiz;51;Noun;
trouver (se);sich befinden;51;Verb;irregular
typique(ment);typisch;51;Adjective/Adverb;
vin;der Wein;51;Noun;
arbre;der Baum;52;Noun;
arrière-petite-fille;die Urenkelin;52;Noun;
arrière-petit-fils;der Urenkel;52;Noun;
arrière-petits-enfants;das Urenkelkind;52;Noun;
asseoir (s');sich setzen;52;Verb;irregular
assis (être);sitzen;52;Verb;irregular
cerisier;der Kirschbaum;52;Noun;
chaussette;der Strumpf;52;Noun;
cœur;das Herz;52;Noun;
côté (à ~ de);neben;52;Preposition;
entre;zwischen;52;Preposition;
être (droit/debout);stehen;52;Verb;irregular
joie;die Freude;52;Noun;
mettre (se ~) (droit/debout);sich stellen;52;Verb;irregular
paire;das Paar;52;Noun;
particulier;besondere;52;Adjective/Adverb;
particulier (adv.);besonders;52;Adjective/Adverb;
petit (n.);der/die/das Kleine;52;Noun;
petit-fils;der Enkel;52;Noun;
petits-enfants;das Enkelkind;52;Noun;
photo;"das Foto ; das Bild";52;Noun;
posé (être ~) (droit / debout);stehen;52;Verb;irregular
quelques;"ein paar ; einige";52;Adjective/Adverb;
réuni (adv.);beisammen;52;Adjective/Adverb;
trinquer;anstoßen;52;Verb;irregular
accroché (être);hängen;53;Verb;irregular
agréable;angenehm;53;Adjective/Adverb;
aimer;lieben;53;Verb;regular
bref;kurzum;53;Adjective/Adverb;
briller;scheinen;53;Verb;irregular
couleur;die Farbe;53;Noun;
fait (au ~);übrigens;53;Modal particle;
fleur;die Blume;53;Noun;
fois (première ~);zum ersten Mal;53;Fixed expression;
magnifique ; wunderschön ;53;Adjective/Adverb;
mieux (le/de ~);am besten;53;Adjective/Adverb;
paraître;scheinen;53;Verb;irregular
personne (p. ind.);niemand;53;Adjective/Adverb;
photographe;der Fotograf;53;Noun;
poisson;der Fisch;53;Noun;
presque;fast;53;Adjective/Adverb;
sembler;scheinen;53;Verb;irregular
souris;die Maus;53;Noun;
souris;die Maus;53;Noun;
vernissage;die Vernissage;53;Noun;
aimer (+ v. inf.);gern;54;Adjective/Adverb;
Allemagne;Deutschland;54;Noun;
allemand (non-~);der Nichtdeutsche;54;Noun;
Américain;der Amerikaner;54;Noun;
attirer;anlocken;54;Verb;irregular
bière (fête de la ~);das Oktoberfest;54;Noun;
blonde (bière);ein Helles;54;Noun;
brasserie;das Brauhaus;54;Noun;
Britannique;der Brite;54;Noun;
brune (bière);ein Dunkles;54;Noun;
chaque;jeder/jede/jedes;54;Adjective/Adverb;
commander;bestellen;54;Verb;regular
différent;verschieden;54;Adjective/Adverb;
fête;das Fest;54;Noun;
finir;enden;54;Verb;regular
Français;der Franzose;54;Noun;
Japonais;der Japaner;54;Noun;
panaché;der Radler;54;Noun;
prairie;die Wiese;54;Noun;
préférer (+ v. inf.);v. inf. + lieber;54;Fixed expression;
touriste;der Tourist;54;Noun;
variété;die Vielfalt;54;Noun;
à;an (acc. ou dat.);55;Preposition;
allongé (être);liegen;55;Verb;irregular
appartenir à;gehören;55;Verb;regular
bondé;überfüllt;55;Adjective/Adverb;
bord (au ~ de);an;55;Preposition;
bouché;verstopft;55;Adjective/Adverb;
but;das Ziel;55;Noun;
chérie;der Liebling;55;Noun;
couché (être ~);liegen;55;Verb;irregular
destination;das Ziel;55;Noun;
directement;direkt;55;Adjective/Adverb;
Internet;das Internet;55;Noun;
louer (donner en location);vermieten;55;Verb;regular
louer (prendre en location);mieten;55;Verb;regular
maison (dir.);nach Hause;55;Fixed expression;
maison (loc.);zu Hause;55;Fixed expression;
maison de vacances;das Ferienhaus;55;Noun;
objectif;das Ziel;55;Noun;
ouvert;offen;55;Adjective/Adverb;
partie (faire ~ de);gehören zu;55;Verb;regular
pas encore;noch nicht;55;Adjective/Adverb;
passer (vacances);verbringen;55;Verb;irregular
porte;die Tür;55;Noun;
posé (être ~) (à plat / à l'horizontale);liegen;55;Verb;irregular
région;die Gegend;55;Noun;
salle de bains;das Bad;55;Noun;
sous-sol;der Keller;55;Noun;
sous-sol;der Keller;55;Noun;
télécharger;herunterladen;55;Verb;irregular
télévision;das Fernsehen;55;Noun;
voir (à);sehenswert;55;Adjective/Adverb;
derrière;hinter;56;Preposition;
appétit;der Appetit;57;Noun;
après (adv.);nachher;57;Adjective/Adverb;
boisson;das Getränk;57;Noun;
bouche;der Mund;57;Noun;
café (établissement);das Kaffeehaus;57;Noun;
car;denn;57;Conjunction;
chat;die Katze;57;Noun;
chien;der Hund;57;Noun;
connu;bekannt;57;Adjective/Adverb;
cou;der Hals;57;Noun;
courir;laufen;57;Verb;irregular
désirer;wünschen;57;Verb;regular
emmener;ausführen;57;Verb;irregular
ensuite;nachher;57;Adjective/Adverb;
escalope;das Schnitzel;57;Noun;
fois (deux ~);zweimal;57;Number/Numeral;
grenouille;der Frosch;57;Noun;
loup;der Wolf;57;Noun;
moins (du ~);zumindest;57;Adjective/Adverb;
original;original;57;Adjective/Adverb;
ours;der Bär;57;Noun;
plaisir;das Vergnügen;57;Noun;
pommes frites;die Pommes Frites;57;Noun;
Sachertorte;die Sachertorte;57;Noun;
serveur;der Kellner;57;Noun;
servir;bedienen;57;Verb;regular
souhait;der Wunsch;57;Noun;
souhaiter;wünschen;57;Verb;regular
souhait;der Wunsch;57;Noun;
souhaiter;wünschen;57;Verb;regular
tasse;die Tasse;57;Noun;
traditionnel;traditionell;57;Adjective/Adverb;
viennois;Wiener;57;Adjective/Adverb;
vin rouge;der Rotwein;57;Noun;
vivre;leben;57;Verb;regular
aimer;mögen;58;Verb;irregular
apparition;die Erscheinung;58;Noun;
coiffure;die Frisur;58;Noun;
dent;der Zahn;58;Noun;
dos;der Rücken;58;Noun;
dos (mal au ~);die Rückenschmerzen;58;Noun;
douleur;der Schmerz;58;Noun;
espérer;hoffen;58;Verb;regular
fantastique;fantastisch;58;Adjective/Adverb;
flatteur;schmeichelhaft;58;Adjective/Adverb;
gris;das Grau;58;Noun;
mal (avoir ~);Schmerzen haben;58;Fixed expression;
manteau;der Mantel;58;Noun;
même chose;das Gleiche;58;Noun;
nécessaire;notwendig / nötig;58;Adjective/Adverb;
oreille;das Ohr;58;Noun;
parce que;weil;58;Conjunction;
tête;der Kopf;58;Noun;
ventre;der Bauch;58;Noun;
bien sûr;natürlich;59;Adjective/Adverb;
déborder;überkochen;59;Verb;irregular
dépasser;überholen;59;Verb;regular
doubler (véhicule);überholen;59;Verb;regular
épeler;buchstabieren;59;Verb;regular
étonner;überraschen;59;Verb;regular
hasard;der Zufall;59;Noun;
lettre (de l'alphabet);der Buchstabe;59;Noun;
majuscule;großes A, B…;59;Noun;
minuscule (a, b...);kleines (a, b...);59;Adjective/Adverb;
pensée (idée);der Gedanke;59;Noun;
réfléchir;"überlegen ; nach/denken";59;Verb;irregular
réservation;die Reservierung;59;Noun;
réserver une table;die Tischreservierung;59;Noun;
surprendre;überraschen;59;Verb;regular
surprendre;überraschen;59;Verb;regular
surprendre;überraschen;59;Verb;regular
traduire;übersetzen;59;Verb;regular
aéroport;der Flughafen;60;Noun;
arrêter (s');anhalten;60;Verb;irregular
bébé;das Baby;60;Noun;
chéri;der Schatz;60;Noun;
côté;die Seite;60;Noun;
croisement;die Kreuzung;60;Noun;
demander (chemin, heure);fragen;60;Verb;regular
énervement;die Aufregung;60;Noun;
examen;das Examen;60;Noun;
félicitation;die Glückwünsche;60;Noun;
feu tricolore;die Ampel;60;Noun;
garçon;der Junge;60;Noun;
heure (horaires);die Uhrzeit;60;Noun;
hôpital;das Krankenhaus;60;Noun;
malade (n.);der Kranke;60;Noun;
marcher (vite);laufen;60;Verb;irregular
perdre (se ~);sich verlaufen;60;Verb;irregular
policier;der Polizist;60;Noun;
port (bateau);der Hafen;60;Noun;
soigner;pflegen;60;Verb;regular
taxi;das Taxi;60;Noun;
tourner (à droite / gauche);rechts / links abbiegen;60;Verb;irregular
trésor;der Schatz;60;Noun;
tromper de chemin (se);sich verlaufen;60;Verb;irregular
tromper de route (se);sich verfahren;60;Verb;irregular
vol (avion);der Flug;60;Noun;
amour;die Liebe;61;Noun;
apparemment;anscheinend;61;Adjective/Adverb;
architecte;der Architekt;61;Noun;
bois;das Holz;61;Noun;
casser;knacken;61;Verb;regular
charmant;charmant;61;Adjective/Adverb;
connaître (faire connaissance);kennenlernen;61;Verb;irregular
craquer;knacken;61;Verb;regular
fête;die Fete;61;Noun;
jackpot;der Jackpot;61;Noun;
noisette;die Haselnuss;61;Noun;
noix;die Walnuss;61;Noun;
panorama;das Panorama;61;Noun;
pied;der Fuß;61;Noun;
président;der Präsident;61;Noun;
qui (à/de ~);wessen;61;Interrogative;
rappeler (se remémorer);sich an jn/etwas erinnern an;61;Verb;irregular
regard;der Blick;61;Noun;
riche;reich;61;Adjective/Adverb;
signe;das Zeichen;61;Noun;
souvenir;die Erinnerung;61;Noun;
souvenir (se ~);sich erinnern;61;Verb;irregular
souvenir;die Erinnerung;61;Noun;
souvenir (se ~);sich erinnern;61;Verb;irregular
toit;das Dach;61;Noun;
toit panoramique;das Panoramadach;61;Noun;
vert;grün;61;Adjective/Adverb;
aborder;ansprechen;62;Verb;irregular
absolument;gar;62;Adjective/Adverb;
ici (par ~);her;62;Adjective/Adverb;
jamais;nie(mals);62;Adjective/Adverb;
marguerite;die Margerite;62;Noun;
œillet;die Nelke;62;Noun;
oser;sich trauen;62;Verb;irregular
perce-neige;das Schneeglöckchen;62;Noun;
pissenlit;der Löwenzahn;62;Noun;
quoi (prép.);wo(r)- (+ prép.);62;Interrogative;
risquer;wagen;62;Verb;regular
rose;die Rose;62;Noun;
tulipe;die Tulpe;62;Noun;
y;hin;62;Adjective/Adverb;
automate;der Automat;64;Noun;
blog;das Blog;64;Noun;
canicule;die Hitze;64;Noun;
chaleur;die Hitze;64;Noun;
chaud (très ~);heiß;64;Adjective/Adverb;
cola;die Cola;64;Noun;
compréhensif;verständnisvoll;64;Adjective/Adverb;
compréhension;das Verständnis;64;Noun;
congé canicule;Hitzefrei;64;Noun;
d'abord;zuerst;64;Adjective/Adverb;
degré;das Grad;64;Noun;
direction (entreprise);das Management;64;Noun;
distributeur automatique;der Bankautomat;64;Noun;
droit;das Recht;64;Noun;
e-mail;die E-Mail;64;Noun;
informations;die Nachrichten;64;Noun;
instant (à l');eben / gerade;64;Adjective/Adverb;
insupportable;unerträglich;64;Adjective/Adverb;
personnellement;persönlich;64;Adjective/Adverb;
sec;trocken;64;Adjective/Adverb;
silence;die Stille;64;Noun;
silencieux;still;64;Adjective/Adverb;
supporter;ertragen;64;Verb;irregular
système;das System;64;Noun;
supporter;ertragen;64;Verb;irregular
système;das System;64;Noun;
système;das System;64;Noun;
venir de;eben (+ v. passé);64;Fixed expression;
déraisonnable;unvernünftig;65;Adjective/Adverb;
flots;in Strömen;65;Fixed expression;
France;Frankreich;65;Noun;
grec;griechisch;65;Adjective/Adverb;
île;die Insel;65;Noun;
impossible;unmöglich;65;Adjective/Adverb;
Italie;Italien;65;Noun;
maisonnette;das Häuschen;65;Noun;
malheur;das Unglück;65;Noun;
nature;die Natur;65;Noun;
plage de sable;der Sandstrand;65;Noun;
possible;möglich;65;Adjective/Adverb;
préférer (superlatif);am liebsten;65;Adjective/Adverb;
raisonnable;vernünftig;65;Adjective/Adverb;
rarement;selten;65;Adjective/Adverb;
réalité;die Realität;65;Noun;
réfléchir à;nach/denken (über);65;Verb;irregular
sable;der Sand;65;Noun;
saison;die Jahreszeit;65;Noun;
seau;"der Eimer ; der Kübel";65;Noun;
tempête;der Sturm;65;Noun;
travail;die Arbeit;65;Noun;
vivre (un événement);erleben;65;Verb;regular
y (direction);dahin;65;Adjective/Adverb;
achever;fertig machen;66;Fixed expression;
ancien;alt;66;Adjective/Adverb;
curiosité touristique;die Sehenswürdigkeit;66;Noun;
descendre (lit, bus, train);aus dem Bett / Bus / Zug steigen;66;Fixed expression;
dimanche (le ~ / tous les ~);sonntags;66;Adjective/Adverb;
escalader;auf einen Berg steigen;66;Fixed expression;
excursion;der Ausflug;66;Noun;
fatigant;anstrengend;66;Adjective/Adverb;
fermé;geschlossen;66;Adjective/Adverb;
groupe;die Gruppe;66;Noun;
groupe de voyage;die Reisegruppe;66;Noun;
honnêtement;ehrlich;66;Adjective/Adverb;
lac;der See;66;Noun;
manifester (se ~);sich melden;66;Verb;irregular
matin au soir;von morgens bis abends;66;Fixed expression;
matin(s) (le/tous les ~);morgens;66;Adjective/Adverb;
mer;die See / das Meer;66;Noun;
mer du Nord;die Nordsee;66;Noun;
montagne;der Berg;66;Noun;
monter (augmenter);steigen;66;Verb;irregular
monter (dans bus/train);in den Bus / Zug steigen;66;Fixed expression;
motiver;motivieren;66;Verb;regular
parti (être ~);unterwegs sein;66;Fixed expression;
plus (le ~);am meisten;66;Adjective/Adverb;
prêt (fini, fait);"fertig ; bereit";66;Adjective/Adverb;
prix (coût);der Preis;66;Noun;
réseau (avoir du ~);der Empfang;66;Noun;
route (être en ~);unterwegs sein;66;Fixed expression;
sincère;ehrlich;66;Adjective/Adverb;
sincèrement;ehrlich;66;Adjective/Adverb;
sommet;der Gipfel;66;Noun;
suivant;folgende;66;Adjective/Adverb;
suivant;folgende;66;Adjective/Adverb;
terrain;das Gelände;66;Noun;
tuer (sens figuré);fertig machen;66;Fixed expression;
à;über;67;Preposition;
Bavière;Bayern;67;Noun;
château;das Schloss;67;Noun;
cousin;der Cousin;67;Noun;
cousine;die Cousine;67;Noun;
féerique;märchenhaft;67;Adjective/Adverb;
gratuitement;umsonst;67;Adjective/Adverb;
haut (en ~);oben;67;Adjective/Adverb;
là (jusque-/d'ici ~) (temporel);bis dahin;67;Adjective/Adverb;
liste;die Liste;67;Noun;
neige;der Schnee;67;Noun;
neiger;schneien;67;Verb;regular
Noël;Weihnachten;67;Noun;
Pâques;Ostern;67;Noun;
Pentecôte;Pfingsten;67;Noun;
pour (compl. de tps);über (+ n. de fête, compl. de tps);67;Preposition;
rocher;der Felsen;67;Noun;
semaine (fin de ~);das Wochenende;67;Noun;
ski;der Ski;67;Noun;
skier;Ski fahren;67;Fixed expression;
visiter;besichtigen / sich ansehen;67;Verb;irregular
vouloir parler de;meinen;67;Verb;irregular
assez;genug;68;Adjective/Adverb;
bureau;das Büro;68;Noun;
chef d'orchestre;der Dirigent;68;Noun;
chercher (aller ~);holen;68;Verb;regular
collaborateur;der Mitarbeiter;68;Noun;
énerver (s');sich aufregen;68;Verb;irregular
énerver (s' contre);sich über jdn aufregen;68;Verb;irregular
ennuis;der Ärger;68;Noun;
erreur;der Fehler;68;Noun;
faute;der Fehler;68;Noun;
humeur;die Laune;68;Noun;
jambe;das Bein;68;Noun;
luné (être ~);gut/schlecht gelaunt sein;68;Fixed expression;
passer (se);passieren;68;Verb;regular
prix (lauréat);der Preis;68;Noun;
se (p. réciproque dat.);sich;68;Personal pronoun;
travailleur;der Arbeiter;68;Noun;
violoniste;der Geiger;68;Noun;
vite fait;kurz;68;Adjective/Adverb;
auberge;die Herberge;69;Noun;
auberge de jeunesse;die Jugendherberge;69;Noun;
aucunement;keineswegs;69;Adjective/Adverb;
campagne;auf dem Land;69;Fixed expression;
camping;das Camping;69;Noun;
camping (terrain);der Campingplatz;69;Noun;
contredire;widersprechen;69;Verb;irregular
déranger;stören;69;Verb;regular
dîner;das Abendessen;69;Noun;
endroit;die Stelle;69;Noun;
épicerie;das Lebensmittelgeschäft;69;Noun;
essence;tanken;69;Verb;regular
excuser;entschuldigen;69;Verb;regular
gîte;die Herberge;69;Noun;
gueule;das Maul;69;Noun;
heure (à cette ~);um die Uhrzeit;69;Fixed expression;
horaires;die Uhrzeit;69;Noun;
librairie;die Buchhandlung;69;Noun;
magasin ; das Geschäft ;69;Noun;
moyen;das Mittel;69;Noun;
"ne… que (pas plus tôt/tard ; pas avant)";erst;69;Modal particle;
plus (en ~);außerdem;69;Adjective/Adverb;
préparer;vor/bereiten;69;Verb;irregular
raviole;die Maultasche;69;Noun;
sac;"die Tasche ; der Sack";69;Noun;
souper;das Abendessen;69;Noun;
Stuttgart;Stuttgart;69;Noun;
supermarché;der Supermarkt;69;Noun;
souper;das Abendessen;69;Noun;
Stuttgart;Stuttgart;69;Noun;
supermarché;der Supermarkt;69;Noun;
un;eins;69;Number/Numeral;
voisin;der Nachbar;69;Noun;
proche (adj. qual.);nah;70;Adjective/Adverb;
acide;sauer;71;Adjective/Adverb;
agir (s'~ de);sich handeln um;71;Verb;irregular
aigre;sauer;71;Adjective/Adverb;
contrat;der Auftrag;71;Noun;
d'abord;erstmal;71;Adjective/Adverb;
difficilement;schwer;71;Adjective/Adverb;
écrire;schreiben;71;Verb;irregular
estomac;der Magen;71;Noun;
garder (place/table);freihalten;71;Verb;irregular
important;wichtig;71;Adjective/Adverb;
joindre;erreichen;71;Verb;regular
partir (à ~ de);ab;71;Preposition;
plat (mets);das Gericht;71;Noun;
plat du jour;das Tagesgericht;71;Noun;
rôti;der Braten;71;Noun;
roue;das Rad;71;Noun;
si (question indirecte);ob;71;Conjunction;
spécialité;die Spezialität;71;Noun;
spécialité;die Spezialität;71;Noun;
traduction;die Übersetzung;71;Noun;
vélo;das Fahrrad / das Rad;71;Noun;
vide;leer;71;Adjective/Adverb;
allumer;anmachen / anschalten;72;Verb;irregular
billet;der Schein;72;Noun;
billet de loterie;der Lotterieschein;72;Noun;
carrière (faire ~);Karriere machen;72;Fixed expression;
chance (jour de ~);der Glückstag;72;Noun;
descendre (véhicule);aussteigen;72;Verb;irregular
donc;bloß;72;Modal particle;
finir son assiette;aufessen;72;Verb;irregular
finir son verre;austrinken;72;Verb;irregular
grasse matinée;ausschlafen;72;Verb;irregular
habiller (qqn);jdn anziehen;72;Verb;irregular
habiller (s');sich anziehen;72;Verb;irregular
lecteur;der Leser;72;Noun;
lève-tard;der Spätaufsteher;72;Noun;
lève-tôt;der Frühaufsteher;72;Noun;
loisirs;das Hobby;72;Noun;
lumière;das Licht;72;Noun;
mi-temps (à ~);halbtags;72;Adjective/Adverb;
ouvrir;aufmachen / öffnen;72;Verb;irregular
raccrocher (téléphone);auf/legen;72;Verb;irregular
réveil;der Wecker;72;Noun;
rêver;träumen;72;Verb;regular
sentir;"spüren ; riechen";72;Verb;irregular
sortir (tirer);heraus/ziehen;72;Verb;irregular
sortir (publier);heraus/geben;72;Verb;irregular
sortir (tirer);herausziehen;72;Verb;irregular
sortir (publier);herausgeben;72;Verb;irregular
voix;die Stimme;72;Noun;
auteur;der Autor;73;Noun;
avantage;der Vorteil;73;Noun;
beaucoup de choses;vieles;73;Adjective/Adverb;
carte;die Karte;73;Noun;
ce que;was;73;Interrogative;
celui/celle/ceux;derjenige/diejenige/dasjenige;73;Adjective/Adverb;
cependant;allerdings;73;Adjective/Adverb;
certaines;manche;73;Adjective/Adverb;
chose;die Sache;73;Noun;
compréhensible;verständlich;73;Adjective/Adverb;
conclusion;der Schluss;73;Noun;
conversation;das Gespräch;73;Noun;
conversation courante;das Alltagsgespräch;73;Noun;
dictionnaire;das Wörterbuch;73;Noun;
entrée (dictionnaire);das Stichwort;73;Noun;
exprimer;ausdrücken;73;Verb;irregular
formuler;formulieren;73;Verb;regular
grave;schlimm;73;Adjective/Adverb;
important (le plus);Hauptsache;73;Fixed expression;
linguiste;der Sprachwissenschaftler;73;Noun;
locuteur natif;der Muttersprachler;73;Noun;
orthographier;rechtschreiben;73;Verb;irregular
panique;die Panik;73;Noun;
perdre;verlieren;73;Verb;irregular
phrase;der Satz;73;Noun;
principal (le ~) (l'essentiel);Hauptsache;73;Fixed expression;
quotidien;der Alltag;73;Noun;
renommé;angesehen;73;Adjective/Adverb;
scientifique;der Wissenschaftler;73;Noun;
signification;die Bedeutung;73;Noun;
surtout;vor allem;73;Fixed expression;
surtout;vor allem;73;Fixed expression;
surtout;vor allem;73;Fixed expression;
terme;der Begriff;73;Noun;
version originale (en);im Original;73;Fixed expression;
appuyer;drücken;74;Verb;regular
argent (métal);das Silber;74;Noun;
cadeau;das Geschenk;74;Noun;
calculer;berechnen;74;Verb;regular
calorie;die Kalorie;74;Noun;
dépense;der Verbrauch;74;Noun;
dépense calorique;der Kalorienverbrauch;74;Noun;
dépenser;ausgeben;74;Verb;irregular
design;das Design;74;Noun;
diamant;der Diamant;74;Noun;
fer;das Eisen;74;Noun;
fin (adj.);fein;74;Adjective/Adverb;
fonctionner;bedienen;74;Verb;regular
frontière;die Grenze;74;Noun;
idée (représentation/image);die Vorstellung;74;Noun;
juste (adapté);richtig;74;Adjective/Adverb;
mariage;die Hochzeit;74;Noun;
modèle;das Modell;74;Noun;
montre;die Uhr;74;Noun;
noces d'argent;die Silberhochzeit;74;Noun;
noces d'or;die Goldhochzeit;74;Noun;
noces de diamant;die Diamanthochzeit;74;Noun;
obtenir;erhalten;74;Verb;irregular
occasion (événement);der Anlass;74;Noun;
or;das Gold;74;Noun;
précis;genau;74;Adjective/Adverb;
regarder (avec attention/intérêt);sich etw. an/sehen;74;Verb;irregular
serrer;drücken;74;Verb;regular
siège;der Sitz;74;Noun;
siège (auto);der Autositz;74;Noun;
suffire;reichen;74;Verb;regular
suffire;reichen;74;Verb;regular
taxe;die Steuer;74;Noun;
touche (clavier);die Taste;74;Noun;
après (adv.);danach;75;Adjective/Adverb;
automne;der Herbst;75;Noun;
avant (adv.);davor;75;Adjective/Adverb;
bord (à ~);an Bord;75;Fixed expression;
côté (à ~);daneben;75;Adjective/Adverb;
dedans;drinnen;75;Adjective/Adverb;
dehors;draußen;75;Adjective/Adverb;
déménager;umziehen;75;Verb;irregular
départ;die Abreise;75;Noun;
derrière;dahinter;75;Adjective/Adverb;
devant (adv.);davor;75;Adjective/Adverb;
différence;der Unterschied;75;Noun;
hiver;der Winter;75;Noun;
passager;der Passagier;75;Noun;
passé;die Vergangenheit;75;Noun;
printemps;der Frühling;75;Noun;
vêtements;die Kleidung;75;Noun;
café au lait;der Milchkaffee;76;Noun;
candidat;der Kandidat;76;Noun;
candidate;die Kandidatin;76;Noun;
chef;der Leiter;76;Noun;
coquille;die Schale;76;Noun;
directeur RH;der Personalleiter;76;Noun;
énervé;aufgeregt;76;Adjective/Adverb;
énerver;ärgern;76;Verb;regular
entretien;das Gespräch;76;Noun;
entretien d'embauche;das Vorstellungsgespräch;76;Noun;
exercice;die Aufgabe;76;Noun;
facile;leicht;76;Adjective/Adverb;
facilement;leicht;76;Adjective/Adverb;
impressionner;beeindrucken;76;Verb;regular
jeter;schmeißen;76;Verb;irregular
lait;die Milch;76;Noun;
lancer;werfen;76;Verb;irregular
léger;leicht;76;Adjective/Adverb;
légèrement;leicht;76;Adjective/Adverb;
marcher (bien/mal);gut/schlecht laufen;76;Verb;irregular
passer (bien/mal se ~);gut/schlecht laufen;76;Verb;irregular
présentation;die Vorstellung;76;Noun;
saucisse;die Wurst;76;Noun;
saucisse grillée;die Bratwurst;76;Noun;
