Français;Allemand;Leçon
personnellement;persönlich;64
sec;trocken;64
silence;die Stille;64
silencieux;still;64
supporter;ertragen;64
système;das System;64
supporter;ertragen;64
système;das System;64
système;das System;64
venir de;eben (+ v. passé);64
déraisonnable;unvernünftig;65
flots;in Strömen;65
France;Frankreich;65
grec;griechisch;65
île;die Insel;65
impossible;unmöglich;65
Italie;Italien;65
maisonnette;das Häuschen;65
malheur;das Unglück;65
nature;die Natur;65
plage de sable;der Sandstrand;65
possible;möglich;65
préférer (superlatif);am liebsten;65
raisonnable;vernünftig;65
rarement;selten;65
réalité;die Realität;65
réfléchir à;nach/denken (über);65
sable;der Sand;65
saison;die Jahreszeit;65
seau;"der Eimer ; der Kübel";65
tempête;der Sturm;65
travail;die Arbeit;65
vivre (un événement);erleben;65
y (direction);dahin;65
achever;fertig machen;66
ancien;alt;66
curiosité touristique;die Sehenswürdigkeit;66
descendre (lit, bus, train);aus dem Bett / Bus / Zug steigen;66
dimanche (le ~ / tous les ~);sonntags;66
escalader;auf einen Berg steigen;66
excursion;der Ausflug;66
fatigant;anstrengend;66
fermé;geschlossen;66
groupe;die Gruppe;66
groupe de voyage;die Reisegruppe;66
honnêtement;ehrlich;66
lac;der See;66
manifester (se ~);sich melden;66
matin au soir;von morgens bis abends;66
matin(s) (le/tous les ~);morgens;66
mer;die See / das Meer;66
mer du Nord;die Nordsee;66
montagne;der Berg;66
monter (augmenter);steigen;66
monter (dans bus/train);in den Bus / Zug steigen;66
motiver;motivieren;66
parti (être ~);unterwegs sein;66
plus (le ~);am meisten;66
prêt (fini, fait);"fertig ; bereit";66
prix (coût);der Preis;66
réseau (avoir du ~);der Empfang;66
route (être en ~);unterwegs sein;66
sincère;ehrlich;66
sincèrement;ehrlich;66
sommet;der Gipfel;66
suivant;folgende;66
suivant;folgende;66
terrain;das Gelände;66
tuer (sens figuré);fertig machen;66
à;über;67
Bavière;Bayern;67
château;das Schloss;67
cousin;der Cousin;67
cousine;die Cousine;67
féerique;märchenhaft;67
gratuitement;umsonst;67
haut (en ~);oben;67
là (jusque-/d’ici ~) (temporel);bis dahin;67
liste;die Liste;67
neige;der Schnee;67
neiger;schneien;67
Noël;Weihnachten;67
Pâques;Ostern;67
Pentecôte;Pfingsten;67
pour (compl. de tps);über (+ n. de fête, compl. de tps);67
rocher;der Felsen;67
semaine (fin de ~);das Wochenende;67
ski;der Ski;67
skier;Ski fahren;67
visiter;besichtigen / sich ansehen;67
vouloir parler de;meinen;67
assez;genug;68
bureau;das Büro;68
chef d’orchestre;der Dirigent;68
chercher (aller ~);holen;68
collaborateur;der Mitarbeiter;68
énerver (s’);sich aufregen;68
énerver (s’ contre);sich über jdn aufregen;68
ennuis;der Ärger;68
erreur;der Fehler;68
faute;der Fehler;68
humeur;die Laune;68
jambe;das Bein;68
luné (être ~);gut/schlecht gelaunt sein;68
passer (se);passieren;68
prix (lauréat);der Preis;68
se (p. réciproque dat.);sich;68
travailleur;der Arbeiter;68
violoniste;der Geiger;68
vite fait;kurz;68
auberge;die Herberge;69
auberge de jeunesse;die Jugendherberge;69
aucunement;keineswegs;69
campagne;auf dem Land;69
camping;das Camping;69
camping (terrain);der Campingplatz;69
contredire;widersprechen;69
déranger;stören;69
dîner;das Abendessen;69
endroit;die Stelle;69
épicerie;das Lebensmittelgeschäft;69
essence;tanken;69
excuser;entschuldigen;69
gîte;die Herberge;69
gueule;das Maul;69
heure (à cette ~);um die Uhrzeit;69
horaires;die Uhrzeit;69
librairie;die Buchhandlung;69
magasin ; das Geschäft ;69
moyen;das Mittel;69
"ne… que (pas plus tôt/tard ; pas avant)";erst;69
plus (en ~);außerdem;69
préparer;vor/bereiten;69
raviole;die Maultasche;69
sac;"die Tasche ; der Sack";69
souper;das Abendessen;69
Stuttgart;Stuttgart;69
supermarché;der Supermarkt;69
souper;das Abendessen;69
Stuttgart;Stuttgart;69
supermarché;der Supermarkt;69
un;eins;69
voisin;der Nachbar;69
proche (adj. qual.);nah;70
acide;sauer;71
agir (s’~ de);sich handeln um;71
aigre;sauer;71
contrat;der Auftrag;71
d’abord;erstmal;71
difficilement;schwer;71
écrire;schreiben;71
estomac;der Magen;71
garder (place/table);freihalten;71
important;wichtig;71
joindre;erreichen;71
partir (à ~ de);ab;71
plat (mets);das Gericht;71
plat du jour;das Tagesgericht;71
rôti;der Braten;71
roue;das Rad;71
si (question indirecte);ob;71
spécialité;die Spezialität;71
spécialité;die Spezialität;71
traduction;die Übersetzung;71
vélo;das Fahrrad / das Rad;71
vide;leer;71
allumer;anmachen / anschalten;72
billet;der Schein;72
billet de loterie;der Lotterieschein;72
carrière (faire ~);Karriere machen;72
chance (jour de ~);der Glückstag;72
descendre (véhicule);aussteigen;72
donc;bloß;72
finir son assiette;aufessen;72
finir son verre;austrinken;72
grasse matinée;ausschlafen;72
habiller (qqn);jdn anziehen;72
habiller (s’);sich anziehen;72
lecteur;der Leser;72
lève-tard;der Spätaufsteher;72
lève-tôt;der Frühaufsteher;72
loisirs;das Hobby;72
lumière;das Licht;72
mi-temps (à ~);halbtags;72
ouvrir;aufmachen / öffnen;72
raccrocher (téléphone);auf/legen;72
réveil;der Wecker;72
rêver;träumen;72
sentir;"spüren ; riechen";72
sortir (tirer);heraus/ziehen;72
sortir (publier);heraus/geben;72
sortir (tirer);herausziehen;72
sortir (publier);herausgeben;72
voix;die Stimme;72
auteur;der Autor;73
avantage;der Vorteil;73
beaucoup de choses;vieles;73
carte;die Karte;73
ce que;was;73
celui/celle/ceux;derjenige/diejenige/dasjenige;73
cependant;allerdings;73
certaines;manche;73
chose;die Sache;73
compréhensible;verständlich;73
conclusion;der Schluss;73
conversation;das Gespräch;73
conversation courante;das Alltagsgespräch;73
dictionnaire;das Wörterbuch;73
entrée (dictionnaire);das Stichwort;73
exprimer;ausdrücken;73
formuler;formulieren;73
grave;schlimm;73
important (le plus);Hauptsache;73
linguiste;der Sprachwissenschaftler;73
locuteur natif;der Muttersprachler;73
orthographier;rechtschreiben;73
panique;die Panik;73
perdre;verlieren;73
phrase;der Satz;73
principal (le ~) (l’essentiel);Hauptsache;73
quotidien;der Alltag;73
renommé;angesehen;73
scientifique;der Wissenschaftler;73
signification;die Bedeutung;73
surtout;vor allem;73
surtout;vor allem;73
surtout;vor allem;73
terme;der Begriff;73
version originale (en);im Original;73
appuyer;drücken;74
argent (métal);das Silber;74
cadeau;das Geschenk;74
calculer;berechnen;74
calorie;die Kalorie;74
dépense;der Verbrauch;74
dépense calorique;der Kalorienverbrauch;74
dépenser;ausgeben;74
design;das Design;74
diamant;der Diamant;74
fer;das Eisen;74
fin (adj.);fein;74
fonctionner;bedienen;74
frontière;die Grenze;74
idée (représentation/image);die Vorstellung;74
juste (adapté);richtig;74
mariage;die Hochzeit;74
modèle;das Modell;74
montre;die Uhr;74
noces d’argent;die Silberhochzeit;74
noces d’or;die Goldhochzeit;74
noces de diamant;die Diamanthochzeit;74
obtenir;erhalten;74
occasion (événement);der Anlass;74
or;das Gold;74
précis;genau;74
regarder (avec attention/intérêt);sich etw. an/sehen;74
serrer;drücken;74
siège;der Sitz;74
siège (auto);der Autositz;74
suffire;reichen;74
suffire;reichen;74
taxe;die Steuer;74
touche (clavier);die Taste;74
après (adv.);danach;75
automne;der Herbst;75
avant (adv.);davor;75
bord (à ~);an Bord;75
côté (à ~);daneben;75
dedans;drinnen;75
dehors;draußen;75
déménager;umziehen;75
départ;die Abreise;75
derrière;dahinter;75
devant (adv.);davor;75
différence;der Unterschied;75
hiver;der Winter;75
passager;der Passagier;75
passé;die Vergangenheit;75
printemps;der Frühling;75
vêtements;die Kleidung;75
café au lait;der Milchkaffee;76
candidat;der Kandidat;76
candidate;die Kandidatin;76
chef;der Leiter;76
coquille;die Schale;76
directeur RH;der Personalleiter;76
énervé;aufgeregt;76
énerver;ärgern;76
entretien;das Gespräch;76
entretien d’embauche;das Vorstellungsgespräch;76
exercice;die Aufgabe;76
facile;leicht;76
facilement;leicht;76
impressionner;beeindrucken;76
jeter;schmeißen;76
lait;die Milch;76
lancer;werfen;76
léger;leicht;76
légèrement;leicht;76
marcher (bien/mal);gut/schlecht laufen;76
passer (bien/mal se ~);gut/schlecht laufen;76
présentation;die Vorstellung;76
saucisse;die Wurst;76
saucisse grillée;die Bratwurst;76
sauf (excepté / à part);außer (+ dat.);76
tâche;die Aufgabe;76
abréviation;die Abkürzung;78
actuel;jetzig;78
après que;nachdem;78
aujourd’hui (d’~);heutig;78
capitale;die Hauptstadt;78
construire;bauen;78
coucher (se ~);untergehen;78
date;das Datum;78
divertissement;der Spaß;78
diviser;teilen;78
division;die Teilung;78
État;der Staat;78
guerre;der Krieg;78
histoire;die Geschichte;78
Lune;der Mond;78
officiel;offiziell;78
République démocratique allemande (RDA);die Deutsche Demokratische Republik;78
République fédérale d’Allemagne (RFA);die Bundesrepublik Deutschland (ab. BRD);78
réunification;die Wiedervereinigung;78
savoir (n.);das Wissen;78
siècle;das Jahrhundert;78
unité;die Einheit;78
ville;die Stadt;78
bus;der Bus;79
communication;die Kommunikation;79
communication (moyen de ~);das Kommunikationsmittel;79
extra-terrestre;der Außerirdische;79
frontières (sans ~);grenzenlos;79
gars;Jungs;79
impression;der Eindruck;79
machin ; das Ding ;79
métro;die U-Bahn;79
métropolitain;die Untergrundbahn;79
mobile (adj.);mobil;79
observer;beobachten;79
offrir (permettre);bieten;79
partout;überall;79
planète;der Planet;79
plutôt;eher;79
positif (n.);das Positive;79
singe;der Affe;79
technique;die Technik;79
terre;die Erde;79
terrestre;irdisch;79
tramway;die Straßenbahn;79
viande;das Fleisch;79
viande (sans);fleischlos;79
audacieux;gewagt;80
branche;der Zweig;80
candidature;die Bewerbung;80
carnaval;der Fasching;80
carrière;die Karriere;80
coin;die Ecke;80
commencer;starten;80
documents;die Unterlagen;80
dossier de candidature;die Bewerbungsunterlagen;80
étage;der Stock;80
filiale;die Zweigstelle;80
hésiter;zögern;80
mentalité;die Mentalität;80
poli;höflich;80
politesse;die Höflichkeit;80
ponctuel;pünktlich;80
précisément;gerade;80
prétentions salariales;die Gehaltsvorstellungen;80
profil;das Profil;80
prometteur;vielversprechend;80
retard;die Verspätung;80
retourner (se ~);sich um/drehen;80
roi;der König;80
sans (+ inf.);ohne zu (+ inf.);80
sans que;ohne dass;80
situation;die Situation;80
succès;der Erfolg;80
succès;der Erfolg;80
tâche (travail);die Arbeit;80
vendeur;der Verkäufer;80
aussi bien… que;sowohl… als auch;81
céréales;das Getreide;81
composer;komponieren;81
compositeur;der Komponist;81
composition;das Komponieren;81
concert;das Konzert;81
conseil;der Tipp;81
cour princière;der Fürstenhof;81
cours de musique;der Musikunterricht;81
dettes;die Schulden;81
deviner;erraten;81
enfant prodige;das Wunderkind;81
ensemble;gemeinsam;81
époque;die Zeit;81
flûte;die Flöte;81
Flûte enchantée;die Zauberflöte;81
gagner (argent);verdienen;81
gaspilleur;verschwenderisch;81
maison natale;das Geburtshaus;81
musique;die Musik;81
œuvre;das Werk;81
opéra;die Oper;81
parmi;darunter;81
pauvre;arm;81
pauvreté;die Armut;81
prince;der Fürst;81
profiter de;nutzen;81
ruelle;die Gasse;81
Salzbourg;Salzburg;81
tout (en tout);insgesamt;81
apprenti;der Geselle;82
biscuit;das Plätzchen;82
botte;der Stiefel;82
boulanger;der Bäcker;82
boulanger (apprenti);der Bäckergeselle;82
boulanger (maître);der Bäckermeister;82
boulangerie;die Bäckerei;82
chauffer;erhitzen;82
compte à rebours;der Countdown;82
contrôler;überprüfen;82
disputer (se ~);streiten;82
four;der Ofen;82
four (de cuisine);der Backofen;82
friandises;die Süßigkeiten;82
lourd;schwer;82
maître (contremaître);der Meister;82
ne… (plus) que;nur noch;82
note (scolaire);die Note;82
pâte;der Teig;82
pendant que;während;82
recommencer;wieder los/gehen;82
réjouir (se ~ de qqch. à venir);sich freuen auf;82
réjouir (se ~ de qqch. qui a eu lieu);sich freuen über;82
saint Nicolas;der Nikolaus;82
soulever;heben;82
soulever;heben;82
tour (être au tour de);dran kommen / dran sein;82
à cause de;durch;83
accompagner;begleiten;83
amende;das Bußgeld;83
changement;der Wechsel;83
entrer;reinkommen;83
espérons que;hoffentlich;83
grâce à;durch;83
inclus;inbegriffen;83
lequel (p. int.);welch-;83
mers du Sud;die Südsee;83
mieux (il y a ~);es gibt Besseres;83
opération;die Operation;83
papier peint;die Tapete;83
pénitence;die Buße;83
pire (il y a ~);es gibt Schlimmeres;83
point;der Punkt;83
prendre (attraper);erwischen;83
rouge (passer au ~);über Rot fahren;83
sauver;retten;83
train (être en train de + inf.);beim;83
urgence (d’);dringend;83
visage;das Gesicht;83
afin que;damit;85
battre (au jeu);schlagen;85
cape;das Cape;85
cape de pluie;das Regencape;85
dicton;das Sprichwort;85
exercice (physique);die Bewegung;85
fleuve;der Fluss;85
fort (bruyant);laut;85
frapper;schlagen;85
giboulées de mars;das Aprilwetter;85
irrésistible;unwiderstehlich;85
lieu (au ~ de);anstatt;85
lieu (au ~ que);anstatt dass;85
long (le ~ de);entlang;85
nourriture;das Essen;85
nuire;schaden;85
particulièrement;besonders;85
partir (pouvoir);loskommen;85
piste cyclable;der Radweg;85
pourquoi (dans quel but);wozu;85
voix (à haute);laut;85
bouteille;die Flasche;86
chanson;das Lied;86
cuillère;der Löffel;86
cuillère (petite);der Teelöffel;86
cure;die Kur;86
dessin;das Bild;86
détail;die Kleinigkeit;86
hôte (amphitryon);der Gast;86
hôte (invité);der Gast;86
hypocalorique;kalorienarm;86
inattendu;unerwartet;86
manomètre;das Manometer;86
manquer;fehlen;86
manquer (à qqn);jdn vermissen;86
oncle;der Onkel;86
passer (tendre);herüberreichen / überreichen;86
poivre;der Pfeffer;86
schnaps;der Schnaps;86
sel;das Salz;86
sentir (odeur);riechen;86
sucre;der Zucker;86
sucre;der Zucker;86
tableau;das Bild;86
action;die Tat;87
arrivée;die Ankunft;87
atteindre;erreichen;87
attendre (s’ à);rechnen mit;87
avoir lieu;stattfinden;87
battre (se ~);kämpfen;87
battre (se ~ pour);kämpfen (für);87
carnaval;die Fasnacht;87
carnaval;die Fastnacht;87
cas (en ~ de);bei;87
centaine de milliers;das Hunderttausend;87
clamer;rufen;87
Cologne;Köln;87
dangereux;gefährlich;87
dédommagement;die Entschädigung;87
défilé;der Umzug;87
Düsseldorf;Düsseldorf;87
élève (fille);die Schülerin;87
élève (garçon);der Schüler;87
environnement;die Umwelt;87
Europe du Nord;Nordeuropa;87
exiger;verlangen;87
fermer;schließen;87
groupe (entreprise);der Konzern;87
mais (au contraire);sondern;87
Mayence;Mainz;87
mieux... mieux;je besser ... desto / umso besser;87
millier;das Tausend;87
moins… moins;je weniger … desto / umso weniger;87
plus… plus…;je + cp. desto/umso + cp.;87
point culminant;der Höhepunkt;87
rhénan;rheinisch;87
solide;fest;87
train grandes lignes;der Fernzug;87
voyageur;der Reisende;87
adresse;die Adresse;88
allécher;anlocken;88
arriver à qqun;jdm vorkommen;88
attraper;fangen;88
bec;der Schnabel;88
bois (forêt);der Wald;88
chant;der Gesang;88
corbeau;der Rabe;88
discours;die Rede;88
doute;der Zweifel;88
écouter qch;hören;88
écouter qqun;auf jdn hören;88
leçon (enseignement);die Lehre;88
maître;der Meister;88
odeur;der Geruch;88
peu (à ~ près);etwa;88
phénix;der Phönix;88
pleurer;weinen;88
plumage;das Gefieder;88
proie;die Beute;88
renard;der Fuchs;88
retenir qqch. (mémoire);sich etwas merken;88
rire;lachen;88
saisir;schnappen;88
serment;der Schwur;88
sourire;lächeln;88
sourire;lächeln;88
valoir qqch.;etw. + acc. wert sein;88
bien que;obwohl;89
boîte de nuit;die Disko;89
cinéma;das Kino;89
d’accord;einverstanden;89
États-Unis;die Vereinigten Staaten;89
football;der Fußball;89
jouer;spielen;89
loin;weit;89
lunettes;die Brille;89
malade (adj.);krank;89
parfois;manchmal;89
piscine;das Schwimmbad;89
pourquoi (c’est ~);deshalb;89
quitter;verlassen;89
répéter;wiederholen;89
retour (de ~);zurück;89
retrouver;wieder/finden;89
revoir;wieder/sehen;89
sport;der Sport;89
sportif;sportlich;89
sport;der Sport;89
sportif;sportlich;89
tennis;das Tennis;89
théâtre;das Theater;89
travers (aller de);schief gehen / schief laufen;89
adapté (à);geeignet (für);90
appareil;das Gerät;90
celui qui;wer;90
cheveux;das Haar;90
demi-tour (faire ~);umdrehen;90
doux;süß;90
effet (faire ~);wirken;90
énergie;die Energie;90
fin (adj.);dünn;90
force;die Kraft;90
forme (en ~);fit;90
garantir;garantieren;90
gras;fettig;90
jus;der Saft;90
jus de fruits;der Obstsaft;90
lavage;das Waschen;90
matelas;die Matratze;90
méthode;die Methode;90
pourtant;trotzdem;90
renoncer à;verzichten auf;90
satisfait;zufrieden;90
satisfait (de);zufrieden (mit);90
sucré;süß;90
sucré;süß;90
tache;der Fleck;90
tendre;zart;90
tour de main (en un);im Handumdrehen;90
transformer (édifice);umbauen;90
vitamine;das Vitamin;90
allumer (s’);angehen;92
armoire;der Schrank;92
bon marché;billig;92
éteindre (s’);ausgehen;92
foutu;futsch;92
journal;die Zeitung;92
lave-linge;die Waschmaschine;92
laver;waschen;92
laver (vaisselle);spülen;92
lave-vaisselle;die Spülmaschine;92
machine ; die Maschine ;92
merde;die Scheiße;92
mien(s)/mienne(s);meiner / meine / meins;92
n’importe;irgend-;92
n’importe quand;irgendwann;92
n’importe quel/le;irgendeine/r;92
n’importe qui;irgendwer;92
quelconque (un/e ~);irgendein/e;92
rafraîchir;kühlen;92
réfrigérateur;der Kühlschrank;92
réparation;die Reparatur;92
tien(s)/tienne(s);deiner / deine / deins;92
chaussure;der Schuh;93
ciel;der Himmel;93
couteau;das Messer;93
créer;erstellen;93
étonné (être);staunen;93
fourchette;die Gabel;93
frères et sœurs;die Geschwister;93
gros;dick;93
interdiction;das Verbot;93
légumes;das Gemüse;93
lettre (courrier);der Brief;93
mettre la table;den Tisch decken;93
non seulement… mais aussi;nicht nur… sondern auch;93
poser (de côté);weg/legen;93
sonner;klingeln;93
sonner;klingeln;93
train (être en train de);gerade;93
valoir;gelten;93
venir de + inf.;gerade (+ v. au parfait);93
visite (invités);der Besuch;93
visite (rendre);besuchen;93
arriver (événement);passieren;94
bête (adj.);dumm;94
comme (étant donné que);da;94
dès que;sobald;94
disputer (se ~ avec);sich mit jdm streiten;94
échouer;durchfallen;94
étudier;studieren;94
examen;die Prüfung;94
examen de conduite;die Fahrprüfung;94
examinateur;der Prüfer;94
fenêtre;das Fenster;94
gentil;lieb;94
heure de conduite;die Fahrstunde;94
inspecteur du permis;der Fahrprüfer;94
journal intime;das Tagebuch;94
lire (en entier);durchlesen;94
méchant;böse;94
même(s) (le/la/les ~);derselbe / dieselbe / dasselbe / dieselben;94
montrer;zeigen;94
nerveux;nervös;94
pantalon;die Hose;94
plus de;über;94
refléter (se ~);sich wider/spiegeln;94
slip;der Slip;94
toilettes;das Klo / die Toilette;94
tomber;fallen;94
arrêter;aufhören;95
canapé;das Sofa;95
chaise;der Stuhl;95
correctement;richtig;95
docteur (médecin);der Doktor;95
docteur (titre);Doktor;95
entre-temps;inzwischen;95
fauteuil;der Sessel;95
grammaire;die Grammatik;95
lampe;die Lampe;95
lire (à haute voix);vorlesen;95
placer;aufstellen;95
projecteur;der Projektor;95
récompense;die Belohnung;95
récréation;die Pause;95
sol;der Boden;95
toilettes (aller aux);auf die Toilette gehen;95
à;bei;96
absolument;überhaupt;96
autonome;selbständig;96
café (établissement);das Café;96
circulation;der Verkehr;96
compte (se mettre à son ~);sich selbständig machen;96
démission;die Kündigung;96
dépendre de;abhängen von;96
en train de;beim;96
journée;sich den Tag frei nehmen;96
licenciement;die Kündigung;96
licencier;kündigen;96
marcher (fonctionner);klappen;96
négatif;negativ;96
poste (bureau de ~ ou poste);die Post;96
prudent;vorsichtig;96
soigneusement;sorgfältig;96
solution;die Lösung;96
triste;traurig;96
volonté;der Wille;96
vouloir dire (par là);damit meinen;96
académie;die Akademie;97
Académie des beaux-arts;die Kunstakademie;97
amusant;Spaß machen;97
amuser;Spaß machen;97
art;die Kunst;97
colocataire;die Mitbewohnerin;97
étudiant;der Student;97
gestion;die Verwaltung;97
habitante;die Bewohnerin;97
page web;die Internetseite;97
présenter;vor/stellen;97
saluer (bienvenue);begrüßen;97
saluer (bonjour);grüßen;97
spectacle;die Vorstellung;97
spectacle;die Vorstellung;97
surfer;surfen;97
assidûment;fleißig;99
avant-dernier;vorletzte;99
bien sûr;selbstverständlich;99
chambre d’hôtel;das Hotelzimmer;99
collègue;der Kollege;99
connaissances;die Kenntnisse;99
courses (faire les ~);einkaufen gehen;99
dentiste;der Zahnarzt;99
export;der Export;99
faux;falsch;99
finir (pour);zum Schluss;99
garage;die Werkstatt;99
inviter à boire;auf ein Bier / Kaffee einladen;99
rendez-vous (avoir ~ avec qqn);mit jdm verabredet sein;99
réussir;schaffen;99
rouillé;eingerostet;99
texte;der Text;99
traduire (en…);auf übersetzen;99
air;die Luft;100
air marin;die Meeresluft;100
ambiance;die Stimmung;100
approfondir;vertiefen;100
Autriche;Österreich;100
congé (prendre ~);Abschied nehmen;100
culture;die Kultur;100
difficile;schwierig;100
difficile (le plus);das Schwierigste;100
diversité;die Vielfalt;100
enchanteur;stimmungsvoll;100
festival;die Festspiele;100
frais;frisch;100
jeu;das Spiel;100
marché de Noël;der Weihnachtsmarkt;100
mer Baltique;die Ostsee;100
motivé;motiviert;100
penser (qqch. de qqch.);etw. von etw. halten;100
réviser;wiederholen;100
société;die Gesellschaft;100
thème;das Thema;100
travailler (continuer à);weiterarbeiten;100
